originTAZ,destTAZ,tt_da,cost_da,tt_sr,cost_sr,tt_walk,tt_bike,tt_wt,accTime_wt,egrTime_wt,iWait_wt,xWait_wt,cost_wt,tt_dt,accTime_dt,egrTime_dt,iWait_dt,xWait_dt,cost_dt,weights,dist_car,accDist_dt,avail_da,avail_sr,avail_walk,avail_bike,avail_wt,avail_dt,choice,obsID
801,777,37.16,1.5353,37.16,0.76765,168.37,29,9,27.4,27.4,13.75,0,1.66,9,21.96,21.96,13.75,0,1.66,66.5,8.7,1.78,1,1,0,1,1,1,2,45
1112,1145,49.79,2.7953,49.79,1.3976,257.48,44.34,37.36,15.6,15.6,15.75,18.92,3.67,17,13.16,13.72,11.25,0,1.66,77,15.84,2.78,1,1,0,0,1,1,1,46
1112,1199,55.17,3.5418,48.45,1.7709,379.08,65.29,71.16,19.2,19.2,16.42,27.67,5.68,47.795,16.68,16.72,13.5,8.75,3.67,77,20.07,2.82,1,1,0,0,1,1,1,47
1429,1441,36.78,2.1971,36.78,1.0985,209.46,36.07,35.085,41.6,35.8,24,0,2.66,27.675,22.63,22.45,16,0,2.66,148,12.45,4.18,1,1,0,1,1,1,1,48
1429,1441,41.95,2.0753,40.38,1.0376,209.46,36.07,35.19,41.6,35.8,24,0,2.66,28.73,28.43,22.33,10.65,0,2.66,148,11.76,4.18,1,1,0,1,1,1,1,49
173,75,49.52,1.7735,49.52,0.59118,183.37,31.58,34.955,23,24.2,4.98,4.17,1.66,29.4,35.2,33.93,5.21,0,3.26,65.5,10.05,7.52,1,1,0,0,1,1,2,50
173,558,140,18.514,140,9.2568,1818.33,313.16,225.04,34.4,35.6,13.67,21.69,9,146,45.18,39.38,24,0,7.34,65.5,104.91,17.72,1,1,0,0,1,1,1,51
866,806,62.15,3.2559,57.15,1.6279,340.24,58.6,27.96,21.6,11.4,4.875,18.75,2.84,22.665,7.78,11.4,3.75,15,1.78,155,18.45,1.79,1,1,0,0,0,0,2,52
866,806,62.15,3.2559,57.15,1.6279,340.24,58.6,27.96,21.6,11.4,4.875,18.75,2.84,22.665,7.78,11.4,3.75,15,1.78,155,18.45,1.79,1,1,0,0,0,0,2,53
1100,1109,32.53,1.5565,32.53,0.77824,170.56,29.37,0,0,0,0,0,0,15.965,27.37,5.2,7.5,16.5,1.78,176,8.82,7.39,1,1,0,1,0,0,1,54
1100,9,201.79,14.164,201.79,7.0821,1296.37,223.26,0,0,0,0,0,0,96,28.85,29.55,11.25,0,5.94,176,71.31,11.3,1,1,0,0,0,1,6,55
1127,1095,34.01,2.0012,34.01,1.0006,203.69,35.08,0,0,0,0,0,0,0,0,0,0,0,0,61.5,11.34,0,1,1,0,1,0,0,1,56
1395,1378,50.49,3.8524,50.49,1.9262,384.62,66.24,0,0,0,0,0,0,0,0,0,0,0,0,180,21.83,0,1,1,0,1,0,0,1,57
1395,1378,63.05,3.8047,63.05,1.9024,384.62,66.24,0,0,0,0,0,0,0,0,0,0,0,0,180,21.56,0,1,1,0,1,0,0,1,58
1395,52,259.34,24.782,244.85,12.391,2359.35,406.33,0,0,0,0,0,0,0,0,0,0,0,0,180,127.06,0,1,1,0,0,0,0,1,59
224,239,49.28,3.8188,49.28,1.9094,313.61,54.01,99.14,31.3,20,14.51,17.5,2.34,52.545,26.01,26.29,9.45,10.39,4.46,65,21.64,12.83,1,1,0,0,1,1,1,60
322,208,88.26,9.5276,88.26,4.7638,839.5,144.58,103.64,28,28,24,45.57,8.68,82.745,28.33,28.66,22,20.57,6.34,96,53.99,5.62,1,1,0,0,1,1,2,61
1380,1337,35.16,1.5212,35.16,0.76059,166.9,28.74,0,0,0,0,0,0,41.25,20.8,21.57,12,46,3.72,957,8.62,4.96,1,1,0,1,0,0,1,62
260,234,42.95,3.4235,42.95,1.7118,319.65,55.05,64.155,37.4,37.4,18,0,2.34,41.45,19.11,19.11,24,36,6.34,89.5,19.4,1.08,1,1,0,0,1,1,1,63
260,234,42.95,3.4235,42.95,1.7118,319.65,55.05,64.155,37.4,37.4,18,0,2.34,41.45,19.11,19.11,24,36,6.34,89.5,19.4,1.08,1,1,0,0,1,1,1,64
1012,1226,98.7,9.4859,98.7,4.7429,818.03,140.88,89.46,24.6,24.6,11.25,22.95,5.79,84.96,13.51,11.33,11.25,22.95,5.79,75,44.8,2.54,1,1,0,0,1,1,1,65
446,479,31.53,2.3965,28.12,1.1982,176.68,30.43,51.075,19,19,24,52.5,6.36,88.03,15.05,15.27,19.5,34.57,7.34,96,13.58,1.78,1,1,0,1,1,1,1,66
48,200,69.46,4.0853,69.46,2.0426,357.72,61.61,74.235,18.8,20.4,9.56,15.36,7.27,14.305,40.95,36.86,10,7.86,5.01,46,23.15,16.03,1,1,0,0,1,1,1,67
907,810,78.9,5.5359,76.56,2.7679,557.28,95.98,0,0,0,0,0,0,0,0,0,0,0,0,105,31.37,0,1,1,0,0,0,0,1,68
1058,16,103.23,7.0576,103.23,3.5288,568.57,97.92,72.8,25,25.2,15,0,4.74,72.8,10.89,11.14,15,0,4.74,60.5,31.04,1.84,1,1,0,0,1,1,5,69
1058,16,103.23,7.0576,103.23,3.5288,568.57,97.92,72.8,25,25.2,17.5,0,4.74,72.8,10.89,11.06,17.5,0,4.74,60.5,31.04,1.84,1,1,0,0,1,1,5,70
1058,875,62.31,6.7288,62.31,3.3644,668.96,115.21,80.235,31.6,31.6,11.48,11.48,5.41,80.235,17.49,17.49,11.48,11.48,5.41,60.5,38.13,1.84,1,1,0,0,1,1,1,71
1058,875,62.31,6.7288,62.31,3.3644,668.96,115.21,81.67,31.6,31.6,14.32,13.98,5.41,81.67,17.49,17.46,14.32,13.98,5.41,60.5,38.13,1.84,1,1,0,0,1,1,1,72
1219,1170,127.42,12.765,104.72,6.3824,1131,194.78,0,0,0,0,0,0,115.62,45.43,10.85,19.5,38.23,4.73,81,63.38,36.31,1,1,0,0,0,1,1,73
1219,1170,127.42,12.765,104.72,6.3824,1131,194.78,0,0,0,0,0,0,115.62,45.43,10.85,19.5,38.23,4.73,81,63.38,36.31,1,1,0,0,0,1,1,74
1219,1095,51.65,6.0182,51.65,1.4794,461.92,79.55,0,0,0,0,0,0,0,0,0,0,0,0,81,25.15,0,1,1,0,0,0,0,2,75
1219,1095,51.65,6.0182,51.65,1.4794,461.92,79.55,0,0,0,0,0,0,0,0,0,0,0,0,81,25.15,0,1,1,0,0,0,0,2,76
1094,1093,11.32,0.37059,11.32,0.18529,40.56,6.99,5.665,17.2,17.2,12.63,0,2.12,54.3,19.01,41.225,24,3.75,8.735,187,2.1,37.945,1,1,1,1,1,1,1,77
1290,1270,161.16,9.0247,161.16,4.5124,989.85,170.47,0,0,0,0,0,0,0,0,0,0,0,0,37.5,51.14,0,1,1,0,0,0,0,1,78
1290,1262,155.15,8.9047,155.15,4.4524,976.82,168.23,0,0,0,0,0,0,0,0,0,0,0,0,37.5,50.46,0,1,1,0,0,0,0,1,79
954,16,100.02,6.7329,100.02,3.3665,515.28,88.74,72.325,27.2,26.6,14.65,2.5,3.76,23.5,20.38,27.39,7.08,0,3.5,151,29.2,8.01,1,1,0,0,1,1,5,80
1309,1292,45.44,6.1641,45.44,3.0821,639.21,110.09,0,0,0,0,0,0,0,0,0,0,0,0,49,34.93,0,1,1,0,0,0,0,1,81
1309,1292,45.44,6.1641,45.44,3.0821,639.21,110.09,0,0,0,0,0,0,0,0,0,0,0,0,49,34.93,0,1,1,0,0,0,0,1,82
1309,1297,36.19,3.18,36.19,1.06,321.06,55.29,0,0,0,0,0,0,0,0,0,0,0,0,49,18.02,0,1,1,0,1,0,0,2,83
1309,1298,31.93,2.9365,31.93,1.4682,317.09,54.61,0,0,0,0,0,0,0,0,0,0,0,0,49,16.64,0,1,1,0,1,0,0,1,84
1309,1298,31.93,2.9365,31.93,1.4682,317.09,54.61,0,0,0,0,0,0,0,0,0,0,0,0,49,16.64,0,1,1,0,1,0,0,1,85
1242,1242,7.56,0.19765,7.56,0.098824,24.65,4.25,0,0,0,0,0,0,0,0,0,0,0,0,109,1.12,0,1,1,1,1,0,0,1,86
1242,1301,53.58,5.7176,53.58,2.8588,577.35,99.43,97.55,14.4,16.6,19.5,70,6.36,115.13,14.63,19.06,21.37,67.29,6.36,109,32.4,7.72,1,1,0,0,1,1,1,87
1242,1222,24.31,1.8476,24.31,0.92382,159.17,27.41,73.325,19.2,19.2,18.25,20,4.24,17.965,20.49,21.66,18,19.79,4.24,109,10.47,7.72,1,1,0,1,1,1,1,88
1242,1222,24.31,1.8476,24.31,0.92382,159.17,27.41,73.325,19.2,19.2,18.25,20,4.24,17.965,20.49,21.66,18,19.79,4.24,109,10.47,7.72,1,1,0,1,1,1,4,89
1389,1383,99.51,5.1318,99.51,2.5659,562.84,96.93,0,0,0,0,0,0,0,0,0,0,0,0,162,29.08,0,0,1,0,0,0,0,2,90
1389,1383,99.51,5.1318,99.51,2.5659,562.84,96.93,0,0,0,0,0,0,0,0,0,0,0,0,162,29.08,0,0,1,0,0,0,0,2,91
1432,1437,31.38,1.3729,31.38,0.68647,150.6,25.94,38.865,15.8,15.8,7.4,0,2.66,51.065,25.02,20.15,24,0,2.12,110,7.78,6.6,1,1,1,0,1,1,1,92
1432,1437,31.38,1.3729,31.38,0.68647,150.6,25.94,38.865,15.8,15.8,7.4,0,2.66,51.065,25.02,20.15,24,0,2.12,110,7.78,6.6,1,1,1,0,1,1,1,93
1420,991,128.21,10.944,121.32,3.1212,994.22,171.23,103.56,12,5.2,8,8.5,2.33,28,64.36,23.6,24,0,7.42,388,53.06,38.81,1,1,0,0,0,1,2,94
1177,1145,193.92,11.672,193.92,5.8359,1165.12,200.66,0,0,0,0,0,0,209.93,26.12,26.75,11.25,15,3.67,46,66.14,9.84,1,1,0,0,0,1,1,95
1177,1145,193.92,11.672,193.92,5.8359,1165.12,200.66,0,0,0,0,0,0,209.93,26.12,26.75,11.25,15,3.67,46,66.14,9.84,1,1,0,0,0,1,1,96
1177,430,286.99,22.202,272.19,11.101,1878.58,323.53,0,0,0,0,0,0,0,0,0,0,0,0,46,125.81,0,1,1,0,0,0,0,1,97
1177,430,214.42,22.26,214.42,11.13,1878.58,323.53,0,0,0,0,0,0,0,0,0,0,0,0,46,126.14,0,1,1,0,0,0,0,1,98
1452,14,91.31,8.2488,91.3,4.1244,571.2,98.37,105.16,21.6,18.3,16.155,30,5.49,69.175,18.28,23.47,12.67,0,3.4,80.5,33.37,27.18,1,1,0,0,1,1,6,99
1452,14,91.31,8.2488,91.3,4.1244,571.2,98.37,105.16,21.6,18.3,16.155,30,5.49,69.175,18.28,23.47,12.67,0,3.4,80.5,33.37,27.18,1,1,0,0,1,1,6,100
58,810,111.41,14.113,111.41,7.0565,1212.62,208.84,0,0,0,0,0,0,0,0,0,0,0,0,219,71.02,0,1,1,0,0,0,0,1,101
58,65,21.18,0.42706,21.18,0.21353,46.92,8.08,12.295,8.1,7.1,6.055,0,1.66,75.155,28.08,28.29,3.5,3.25,4.92,219,2.42,12.52,1,1,1,0,1,1,5,102
1215,1211,23.68,1.38,23.68,0.46,124.1,21.37,0,0,0,0,0,0,0,0,0,0,0,0,282,7.82,0,1,1,1,1,0,0,2,103
343,430,87.15,5.5553,69.06,2.7776,584.09,100.59,115.09,28,25,22,22.5,5.18,89.29,12.09,27.795,22,20,5.065,48,31.48,8.55,1,1,0,0,1,1,1,104
343,430,72.49,5.6206,72.49,2.8103,584.09,100.59,117.17,28,25,24,33,6.24,91.365,11.93,27.795,24,30.5,6.125,48,31.85,8.55,1,1,0,0,1,1,1,105
1339,1348,61.6,3.1941,61.6,1.5971,333.56,57.45,0,0,0,0,0,0,0,0,0,0,0,0,230,18.1,0,1,1,0,1,0,0,1,106
1182,1197,42.8,2.9824,42.8,1.4912,300.06,51.68,0,0,0,0,0,0,21.88,22.49,22.19,17.22,0,2.12,56,16.9,9.76,1,1,0,1,0,1,1,107
1345,1336,59.8,3.1765,59.8,1.0588,316.66,54.54,84.785,35.8,35.8,12,0,2.66,88.77,20.84,21.04,12,0,2.66,115,18,2.86,1,1,0,0,1,1,2,108
1345,1336,43.66,3.4853,43.66,1.7426,316.66,54.54,0,0,0,0,0,0,0,0,0,0,0,0,115,19.75,0,1,1,0,0,0,0,1,109
1345,1336,59.8,3.1765,59.8,1.0588,316.66,54.54,84.785,35.8,35.8,12,0,2.66,88.77,20.84,21.04,12,0,2.66,115,18,2.86,1,1,0,0,1,1,2,110
252,604,146.06,14.134,117.5,7.0668,1266.85,218.18,0,0,0,0,0,0,178.63,17.4,21.34,24,34.38,7.9,140.5,80.09,24.53,1,1,0,0,0,1,2,111
252,604,112.27,13.26,112.27,6.63,1266.85,218.18,0,0,0,0,0,0,160.76,17.02,28.75,19.5,24.84,7.9,140.5,75.14,23.65,1,1,0,0,0,1,2,112
252,417,128.67,11.43,112.51,5.715,1051.68,181.12,0,0,0,0,0,0,125.42,30.8,30.93,17,17.86,5.66,140.5,64.77,4.48,1,1,0,0,0,1,2,113
252,417,128.67,11.43,112.51,5.715,1051.68,181.12,0,0,0,0,0,0,125.42,30.8,30.93,17,17.86,5.66,140.5,64.77,4.48,1,1,0,0,0,1,2,114
620,377,65.33,4.9535,45.43,2.4768,489.74,84.34,110.84,23.8,23.4,24,34.04,6.01,21,40.76,35.3,19.5,0,4,103,28.07,18.84,1,1,0,0,1,1,1,115
620,403,57.77,3.6035,41.32,1.8018,366.85,63.18,71.115,19.6,19.6,24,0,2.12,40.21,20.73,20.49,24,0,2.12,103,20.42,7.11,1,1,0,1,1,1,1,116
208,349,108.45,11.735,108.45,5.8676,1046.85,180.29,120.69,28.4,28.4,14.75,40.86,9.22,94.13,30.26,27.31,13.75,15.86,6.88,56.5,66.5,10.93,1,1,0,0,1,1,1,117
208,23,64.15,3.2753,64.15,1.6376,339.58,58.48,69.94,28,28,23,0,2.34,26.2,30.18,28.39,3.38,0,3.2,56.5,18.56,23.86,1,1,0,1,1,1,6,118
208,23,64.15,3.2753,64.15,1.6376,339.58,58.48,68.08,28,28,23,0,2.34,26.2,30.18,24.64,5.21,0,3.2,56.5,18.56,23.76,1,1,0,1,1,1,6,119
526,403,73.51,4.8229,61.64,2.4115,503.01,86.63,139.82,20,20.8,24,11.25,3.5,106.78,15.44,15.44,15,15,1.66,93.5,27.33,2.72,1,1,0,0,1,1,1,120
526,1336,351.78,36.837,319.84,17.239,3592.26,618.67,0,0,0,0,0,0,0,0,0,0,0,0,93.5,195.37,0,1,1,0,0,0,0,1,121
297,329,116.63,6.0635,116.63,3.0318,656.54,113.07,0,0,0,0,0,0,28.22,81.51,78.83,19.5,30,5.51,43.5,34.36,33.75,1,1,0,0,0,1,2,122
297,329,116.63,6.0635,116.63,3.0318,656.54,113.07,0,0,0,0,0,0,28.22,81.51,78.83,19.5,30,5.51,43.5,34.36,33.75,1,1,0,0,0,1,2,123
1313,1313,28.32,1.1824,28.32,0.59118,209.03,36,0,0,0,0,0,0,0,0,0,0,0,0,55,6.7,0,1,1,0,1,0,0,1,124
1313,1314,51.78,2.3647,51.78,1.1824,259.3,44.66,0,0,0,0,0,0,0,0,0,0,0,0,55,13.4,0,1,1,0,1,0,0,1,125
1313,1317,103.77,5.3259,103.77,2.6629,583.99,100.58,0,0,0,0,0,0,0,0,0,0,0,0,55,30.18,0,1,1,0,0,0,0,1,126
1006,1034,28.41,1.2953,28.41,0.64765,141.09,24.3,40.21,23.4,29.8,19.5,30,2.12,25.975,22.16,22.87,15,33.75,3.67,37.5,7.34,2.98,1,1,1,0,1,1,1,127
1006,1034,28.41,1.2953,28.41,0.64765,141.09,24.3,40.21,23.4,29.8,19.5,30,2.12,25.975,22.16,22.87,15,33.75,3.67,37.5,7.34,2.98,1,1,1,0,1,1,1,128
1422,15,111.68,11.034,108.26,5.5168,910.55,156.82,65.845,13.6,8,12,0,1.33,87.945,14.02,22.73,13.91,0,3.4,87,49.15,28.32,1,1,0,0,1,1,5,129
1422,1414,52.29,3.6847,45,1.8424,395.81,68.17,56.955,13.6,22.8,10,9.76,1.33,69.93,28.93,28.84,21.76,0,2.66,87,20.88,2.92,1,1,0,0,0,1,1,130
1392,1375,86.48,4.5882,86.48,2.2941,503.21,86.66,0,0,0,0,0,0,0,0,0,0,0,0,89,26,0,1,1,0,0,0,0,1,131
1421,1425,26.08,1.1576,26.08,0.38588,126.9,21.86,24.81,23,23,22,25,4.78,31.975,19.82,20.45,17,24.78,4.78,206,6.56,4.85,1,1,1,1,1,1,2,132
65,216,74.13,3.9247,74.13,1.9624,378.14,65.12,96.365,10.2,10.9,14.75,22.25,6.82,27.555,32.99,30.08,15.75,11,5.01,73,22.24,14.09,1,1,0,1,1,1,1,133
1299,1294,23.89,0.99882,23.89,0.49941,109.59,18.87,0,0,0,0,0,0,0,0,0,0,0,0,51,5.66,0,1,1,1,1,0,0,1,134
1299,1294,25.47,0.99882,25.47,0.49941,109.59,18.87,15.16,26,26,19.44,0,2.12,0,0,0,0,0,0,51,5.66,0,1,1,1,1,1,0,1,135
34,5,36.44,0.57176,36.44,0.28588,59.32,10.22,26.99,7.4,3.6,8,0,1.66,32.8,29.22,29.01,3.38,0,3.26,218,3.24,19.4,1,1,1,0,1,1,3,136
1450,1440,36.98,2.0965,36.98,1.0482,208.08,35.84,49.53,29.6,29.6,18.82,28.145,3.72,29.555,20,26.23,18.82,13.145,3.72,80.5,11.88,5.56,1,1,0,0,1,1,1,137
1110,1122,22.25,0.93176,22.25,0.46588,102.17,17.6,15.225,12,9.8,9.71,22.5,2.12,13.035,10.06,9.8,7.5,22.5,1.78,67,5.28,2.65,1,1,1,0,0,0,1,138
1110,1122,22.25,0.93176,22.25,0.46588,102.17,17.6,15.225,12,9.8,9.71,22.5,2.12,13.035,10.06,9.8,7.5,22.5,1.78,67,5.28,2.65,1,1,1,0,0,0,1,139
1382,1380,34.2,2.0347,34.2,1.0174,216.6,37.3,0,0,0,0,0,0,0,0,0,0,0,0,86.5,11.53,0,1,1,0,1,0,0,2,140
1382,1380,34.2,2.0347,34.2,1.0174,216.6,37.3,0,0,0,0,0,0,0,0,0,0,0,0,86.5,11.53,0,1,1,0,1,0,0,2,141
1393,1332,170.27,9.4624,170.27,4.7312,999,172.05,0,0,0,0,0,0,0,0,0,0,0,0,65.5,53.62,0,1,1,0,0,0,0,1,142
1393,1332,170.27,9.4624,170.27,4.7312,999,172.05,0,0,0,0,0,0,0,0,0,0,0,0,65.5,53.62,0,1,1,0,0,0,0,1,143
385,449,33.16,1.59,33.16,0.795,174.3,30.02,0,0,0,0,0,0,33.01,25.54,26.01,22,27.86,3.56,37.5,9.01,7.86,1,1,0,0,0,1,1,144
1296,1299,19.76,0.57529,19.76,0.28765,63.06,10.86,0,0,0,0,0,0,68.235,13.4,32.24,12,10.23,2.95,32.5,3.26,34.38,1,1,1,1,0,0,1,145
1179,212,317.4,24.927,310.52,11.674,2405.42,414.27,0,0,0,0,0,0,0,0,0,0,0,0,56,132.3,0,1,1,0,0,0,0,1,146
1179,656,335.27,23.312,325.23,11.656,2180.71,375.57,0,0,0,0,0,0,0,0,0,0,0,0,56,132.1,0,1,1,0,0,0,0,1,147
