obs_id,alt_id,CHOICE,travel_time_hrs,headway_hrs,travel_cost_hundreth
28,1,0,2.3,0.5,0.4
28,2,1,1.083333333,0.166666667,0.45
28,3,0,2.25,0,0.8
29,1,0,2.3,2,0.4
29,2,1,1.016666667,0.166666667,0.52
29,3,0,2.916666667,0,1.3
30,1,0,2.3,0.5,0.36
30,2,1,0.966666667,0.333333333,0.49
30,3,0,2.916666667,0,1
31,1,0,1.75,1,0.36
31,2,1,0.966666667,0.5,0.49
31,3,0,1.8,0,1.3
32,1,0,1.933333333,0.5,0.4
32,2,1,0.966666667,0.5,0.46
32,3,0,2.916666667,0,0.8
33,1,0,1.933333333,0.5,0.36
33,2,1,1.016666667,0.166666667,0.42
33,3,0,1.8,0,1
34,1,0,1.933333333,1,0.48
34,2,1,0.966666667,0.333333333,0.5
34,3,0,1.8,0,0.8
35,1,0,2.3,0.5,0.48
35,2,1,1.016666667,0.5,0.52
35,3,0,1.8,0,1.3
36,1,0,1.933333333,1,0.4
36,2,1,1.016666667,0.5,0.52
36,3,0,2.25,0,1
37,1,0,4.483333333,2,0.7
37,2,1,3.6,0.333333333,0.72
38,1,0,4.05,0.5,0.7
38,2,1,3.55,0.166666667,0.7
39,1,0,5.333333333,1,0.7
39,2,1,3.666666667,0.5,0.74
40,1,0,4.05,0.5,0.58
40,2,1,3.6,0.333333333,0.66
41,1,0,5.333333333,1,0.52
41,2,1,3.6,0.333333333,0.57
42,1,0,4.483333333,2,0.52
42,2,1,3.55,0.166666667,0.62
43,1,0,4.05,2,0.7
43,2,1,3.666666667,0.166666667,0.74
44,1,0,4.05,0.5,0.52
44,2,1,3.666666667,0.5,0.57
45,1,0,5.333333333,1,0.58
45,2,1,3.55,0.166666667,0.64
46,1,0,1.933333333,2,0.35
46,2,1,0.766666667,0.5,0.38
46,3,0,1.166666667,0,0.35
47,1,0,1.583333333,2,0.26
47,2,1,0.816666667,0.5,0.29
47,3,0,1.516666667,0,0.28
48,1,0,1.933333333,2,0.26
48,2,1,0.883333333,0.333333333,0.32
48,3,0,0.933333333,0,0.28
49,1,0,1.7,1,0.26
49,2,1,0.883333333,0.166666667,0.32
49,3,0,1.516666667,0,0.45
50,1,0,1.7,2,0.29
50,2,1,0.883333333,0.5,0.32
50,3,0,0.933333333,0,0.45
51,1,0,1.583333333,1,0.29
51,2,1,0.883333333,0.333333333,0.32
51,3,0,1.516666667,0,0.35
52,1,0,1.583333333,1,0.35
52,2,1,0.816666667,0.166666667,0.4
52,3,0,1.166666667,0,0.28
53,1,0,1.583333333,2,0.29
53,2,1,0.766666667,0.333333333,0.35
53,3,0,1.166666667,0,0.45
54,1,0,1.7,0.5,0.35
54,2,1,0.883333333,0.333333333,0.46
54,3,0,1.166666667,0,0.45
55,1,0,1.45,2,0.42
55,2,1,0.533333333,0.333333333,0.49
55,3,0,1.95,0,1.4
56,1,0,1.333333333,0.5,0.42
56,2,1,0.483333333,0.166666667,0.46
56,3,0,1.95,0,1.82
57,1,0,1.683333333,1,0.42
57,2,1,0.6,0.5,0.56
57,3,0,1.95,0,1.12
58,1,0,1.333333333,0.5,0.35
58,2,1,0.533333333,0.333333333,0.49
58,3,0,1.2,0,1.12
59,1,0,1.683333333,1,0.31
59,2,1,0.533333333,0.333333333,0.38
59,3,0,1.5,0,1.82
60,1,0,1.45,2,0.31
60,2,1,0.483333333,0.166666667,0.46
60,3,0,1.5,0,1.12
61,1,1,1.333333333,2,0.42
61,2,0,0.6,0.166666667,0.56
61,3,0,1.2,0,1.4
62,1,0,1.333333333,0.5,0.31
62,2,1,0.6,0.5,0.4
62,3,0,1.5,0,1.4
63,1,0,1.683333333,1,0.35
63,2,1,0.483333333,0.166666667,0.43
63,3,0,1.2,0,1.4
64,1,0,1.816666667,2,0.26
64,2,1,0.933333333,0.333333333,0.34
64,3,0,2.166666667,0,0.3
65,1,0,1.666666667,0.5,0.26
65,2,1,0.883333333,0.166666667,0.32
65,3,0,2.166666667,0,0.39
66,1,0,2.1,1,0.26
66,2,1,1,0.5,0.4
66,3,0,2.166666667,0,0.24
67,1,0,1.666666667,0.5,0.22
67,2,0,0.933333333,0.333333333,0.35
67,3,1,1.333333333,0,0.24
68,1,0,2.1,1,0.2
68,2,1,0.933333333,0.333333333,0.24
68,3,0,1.666666667,0,0.39
69,1,0,1.816666667,2,0.2
69,2,0,0.883333333,0.166666667,0.32
69,3,1,1.666666667,0,0.24
70,1,0,1.666666667,2,0.26
70,2,0,1,0.166666667,0.4
70,3,1,1.333333333,0,0.3
71,1,0,1.666666667,0.5,0.2
71,2,1,1,0.5,0.26
71,3,0,1.666666667,0,0.3
72,1,0,2.1,1,0.22
72,2,1,0.883333333,0.166666667,0.28
72,3,0,1.333333333,0,0.3
73,1,0,1.933333333,0.5,0.24
73,2,1,0.883333333,0.166666667,0.28
73,3,0,1,0,0.32
74,1,0,1.933333333,0.5,0.22
74,2,1,0.766666667,0.333333333,0.32
74,3,0,1.3,0,0.4
75,1,0,1.933333333,2,0.24
75,2,1,0.816666667,0.166666667,0.36
75,3,0,1.3,0,0.52
76,1,0,1.583333333,1,0.22
76,2,1,0.766666667,0.5,0.32
76,3,0,0.8,0,0.52
77,1,0,1.7,0.5,0.24
77,2,1,0.766666667,0.5,0.29
77,3,0,1.3,0,0.32
78,1,0,1.7,1,0.29
78,2,1,0.766666667,0.333333333,0.32
78,3,0,0.8,0,0.32
79,1,0,1.7,0.5,0.22
79,2,1,0.816666667,0.166666667,0.25
79,3,0,0.8,0,0.4
80,1,0,1.7,1,0.24
80,2,1,0.816666667,0.5,0.36
80,3,0,1,0,0.4
81,1,0,1.933333333,0.5,0.29
81,2,1,0.816666667,0.5,0.35
81,3,0,0.8,0,0.52
82,1,0,2.183333333,2,0
82,2,1,0.983333333,0.5,0
83,1,1,1.833333333,2,0
83,2,0,1.033333333,0.5,0
84,1,0,2.183333333,2,0
84,2,1,1.1,0.333333333,0
85,1,0,1.95,1,0
85,2,1,1.1,0.166666667,0
86,1,0,1.95,2,0
86,2,1,1.1,0.5,0
87,1,0,1.833333333,1,0
87,2,1,1.1,0.333333333,0
88,1,0,1.833333333,1,0
88,2,1,1.033333333,0.166666667,0
89,1,0,1.833333333,2,0
89,2,1,0.983333333,0.333333333,0
90,1,1,1.95,0.5,0
90,2,0,1.1,0.333333333,0
91,1,0,1.933333333,0.5,0
91,2,1,0.866666667,0.166666667,0
92,1,0,1.933333333,2,0
92,2,1,0.8,0.166666667,0
93,1,0,1.933333333,0.5,0
93,2,1,0.75,0.333333333,0
94,1,0,1.55,1,0
94,2,1,0.75,0.5,0
95,1,0,1.683333333,0.5,0
95,2,1,0.75,0.5,0
96,1,0,1.683333333,0.5,0
96,2,1,0.8,0.166666667,0
97,1,0,1.683333333,1,0
97,2,1,0.75,0.333333333,0
98,1,0,1.933333333,0.5,0
98,2,1,0.8,0.5,0
99,1,0,1.683333333,1,0
99,2,1,0.8,0.5,0
100,1,0,2.183333333,0.5,0
100,2,1,1.1,0.166666667,0
101,1,0,2.183333333,2,0
101,2,1,1.033333333,0.166666667,0
102,1,0,2.183333333,0.5,0
102,2,1,0.983333333,0.333333333,0
103,1,0,1.833333333,1,0
103,2,1,0.983333333,0.5,0
104,1,0,1.95,0.5,0
104,2,1,0.983333333,0.5,0
105,1,0,1.95,0.5,0
105,2,1,1.033333333,0.166666667,0
106,1,0,1.95,1,0
106,2,1,0.983333333,0.333333333,0
107,1,0,2.183333333,0.5,0
107,2,1,1.033333333,0.5,0
108,1,0,1.95,1,0
108,2,1,1.033333333,0.5,0
109,1,0,2.8,2,0
109,2,1,1.433333333,0.5,0
110,1,0,2.15,2,0
110,2,1,1.483333333,0.5,0
111,1,0,2.8,2,0
111,2,1,1.55,0.333333333,0
112,1,0,2.366666667,1,0
112,2,1,1.55,0.166666667,0
113,1,0,2.366666667,2,0
113,2,1,1.55,0.5,0
114,1,1,2.15,1,0
114,2,0,1.55,0.333333333,0
115,1,1,2.15,1,0
115,2,0,1.483333333,0.166666667,0
116,1,0,2.15,2,0
116,2,1,1.433333333,0.333333333,0
117,1,0,2.366666667,0.5,0
117,2,1,1.55,0.333333333,0
118,1,0,2.166666667,2,0
118,2,1,1.283333333,0.333333333,0
118,3,0,1.516666667,0,1
119,1,0,1.966666667,0.5,0
119,2,1,1.233333333,0.166666667,0
119,3,0,1.516666667,0,1.3
120,1,0,2.55,1,0
120,2,1,1.35,0.5,0
120,3,0,1.516666667,0,0.8
121,1,1,1.966666667,0.5,0
121,2,0,1.283333333,0.333333333,0
121,3,0,0.933333333,0,0.8
122,1,0,2.55,1,0
122,2,1,1.283333333,0.333333333,0
122,3,0,1.166666667,0,1.3
123,1,0,2.166666667,2,0
123,2,1,1.233333333,0.166666667,0
123,3,0,1.166666667,0,0.8
124,1,0,1.966666667,2,0
124,2,1,1.35,0.166666667,0
124,3,0,0.933333333,0,1
125,1,1,1.966666667,0.5,0
125,2,0,1.35,0.5,0
125,3,0,1.166666667,0,1
126,1,0,2.55,1,0
126,2,1,1.233333333,0.166666667,0
126,3,0,0.933333333,0,1
127,1,0,1.85,2,0
127,2,1,0.683333333,0.5,0
128,1,0,1.85,2,0
128,2,1,0.8,0.333333333,0
129,1,0,1.5,2,0
129,2,1,0.733333333,0.5,0
130,1,0,1.616666667,1,0
130,2,1,0.8,0.166666667,0
131,1,0,1.616666667,2,0
131,2,1,0.8,0.5,0
132,1,0,1.5,1,0
132,2,1,0.8,0.333333333,0
133,1,0,1.5,1,0
133,2,1,0.733333333,0.166666667,0
134,1,0,1.5,2,0
134,2,1,0.683333333,0.333333333,0
135,1,1,1.616666667,0.5,0
135,2,0,0.8,0.333333333,0
136,1,0,3.466666667,0.5,0
136,2,1,1.316666667,0.166666667,0
136,3,0,3.166666667,0,0.8
137,1,0,3.466666667,2,0
137,2,1,1.183333333,0.166666667,0
137,3,0,4.116666667,0,1.3
138,1,0,3.466666667,0.5,0
138,2,1,1.083333333,0.333333333,0
138,3,0,4.116666667,0,1
139,1,0,2.75,1,0
139,2,1,1.083333333,0.5,0
139,3,0,2.533333333,0,1.3
140,1,0,2.983333333,0.5,0
140,2,1,1.083333333,0.5,0
140,3,0,4.116666667,0,0.8
141,1,0,2.983333333,0.5,0
141,2,1,1.183333333,0.166666667,0
141,3,0,2.533333333,0,1
142,1,0,2.983333333,1,0
142,2,1,1.083333333,0.333333333,0
142,3,0,2.533333333,0,0.8
143,1,0,3.466666667,0.5,0
143,2,1,1.183333333,0.5,0
143,3,0,2.533333333,0,1.3
144,1,0,2.983333333,1,0
144,2,1,1.183333333,0.5,0
144,3,0,3.166666667,0,1
145,1,0,2.2,0.5,0.23
145,2,1,1.016666667,0.166666667,0.26
145,3,0,1.5,0,0.2
146,1,0,2.2,2,0.23
146,2,1,0.95,0.166666667,0.31
146,3,0,1.95,0,0.32
147,1,0,2.2,0.5,0.21
147,2,1,0.9,0.333333333,0.28
147,3,0,1.95,0,0.25
148,1,0,1.7,1,0.21
148,2,1,0.9,0.5,0.28
148,3,0,1.2,0,0.32
149,1,0,1.866666667,0.5,0.23
149,2,1,0.9,0.5,0.28
149,3,0,1.95,0,0.2
150,1,0,1.866666667,0.5,0.21
150,2,1,0.95,0.166666667,0.24
150,3,0,1.2,0,0.25
151,1,0,1.866666667,1,0.28
151,2,1,0.9,0.333333333,0.3
151,3,0,1.2,0,0.2
152,1,0,2.2,0.5,0.28
152,2,1,0.95,0.5,0.31
152,3,0,1.2,0,0.32
153,1,0,1.866666667,1,0.23
153,2,1,0.95,0.5,0.31
153,3,0,1.5,0,0.25
154,1,0,3.1,0.5,0.24
154,2,1,1.583333333,0.166666667,0.27
154,3,0,1.833333333,0,0.32
155,1,0,3.1,2,0.24
155,2,1,1.483333333,0.166666667,0.32
155,3,0,2.383333333,0,0.52
156,1,0,3.1,0.5,0.22
156,2,1,1.4,0.333333333,0.3
156,3,0,2.383333333,0,0.4
157,1,0,2.566666667,1,0.22
157,2,1,1.4,0.5,0.3
157,3,0,1.466666667,0,0.52
158,1,0,2.75,0.5,0.24
158,2,1,1.4,0.5,0.28
158,3,0,2.383333333,0,0.32
159,1,0,2.75,0.5,0.22
159,2,1,1.483333333,0.166666667,0.25
159,3,0,1.466666667,0,0.4
160,1,0,2.75,1,0.29
160,2,1,1.4,0.333333333,0.3
160,3,0,1.466666667,0,0.32
161,1,0,3.1,0.5,0.29
161,2,1,1.483333333,0.5,0.32
161,3,0,1.466666667,0,0.52
162,1,0,2.75,1,0.24
162,2,1,1.483333333,0.5,0.32
162,3,0,1.833333333,0,0.4
163,1,0,3.533333333,2,0.26
163,2,0,2.016666667,0.5,0.27
163,3,1,20,0,0.1
164,1,1,2.95,1,0.2
164,2,0,2.133333333,0.166666667,0.23
164,3,0,26,0,0.13
165,1,0,2.65,2,0.2
165,2,0,2.066666667,0.5,0.22
165,3,1,26,0,0.08
166,1,0,3.533333333,2,0.2
166,2,0,2.133333333,0.333333333,0.23
166,3,1,16,0,0.08
167,1,1,2.95,2,0.22
167,2,0,2.133333333,0.5,0.24
167,3,0,16,0,0.13
168,1,1,2.65,1,0.22
168,2,0,2.133333333,0.333333333,0.24
168,3,0,26,0,0.1
169,1,0,2.65,1,0.26
169,2,1,2.066666667,0.166666667,0.28
169,3,0,20,0,0.08
170,1,0,2.65,2,0.22
170,2,1,2.016666667,0.333333333,0.25
170,3,0,20,0,0.13
171,1,1,2.95,0.5,0.26
171,2,0,2.133333333,0.333333333,0.31
171,3,0,20,0,0.13
172,1,0,2.983333333,2,0
172,2,1,1.6,0.5,0
172,3,0,1.833333333,0,0.3
173,1,0,2.283333333,2,0
173,2,1,1.65,0.5,0
173,3,0,2.383333333,0,0.24
174,1,0,2.983333333,2,0
174,2,0,1.716666667,0.333333333,0
174,3,1,1.466666667,0,0.24
175,1,0,2.516666667,1,0
175,2,1,1.716666667,0.166666667,0
175,3,0,2.383333333,0,0.39
176,1,0,2.516666667,2,0
176,2,1,1.716666667,0.5,0
176,3,0,1.466666667,0,0.39
177,1,0,2.283333333,1,0
177,2,1,1.716666667,0.333333333,0
177,3,0,2.383333333,0,0.3
178,1,0,2.283333333,1,0
178,2,1,1.65,0.166666667,0
178,3,0,1.833333333,0,0.24
179,1,0,2.283333333,2,0
179,2,1,1.6,0.333333333,0
179,3,0,1.833333333,0,0.39
180,1,0,2.516666667,0.5,0
180,2,1,1.716666667,0.333333333,0
180,3,0,1.833333333,0,0.39
181,1,0,2.216666667,2,0.96
181,2,1,0.95,0.333333333,1.06
182,1,0,2.033333333,0.5,0.96
182,2,1,0.866666667,0.166666667,0.99
183,1,1,2.566666667,1,0.96
183,2,0,1.05,0.5,1.23
184,1,0,2.033333333,0.5,0.8
184,2,1,0.95,0.333333333,1.06
185,1,0,2.566666667,1,0.72
185,2,1,0.95,0.333333333,0.83
186,1,0,2.216666667,2,0.72
186,2,1,0.866666667,0.166666667,0.99
187,1,0,2.033333333,2,0.96
187,2,1,1.05,0.166666667,1.23
188,1,0,2.033333333,0.5,0.72
188,2,1,1.05,0.5,0.86
189,1,0,2.566666667,1,0.8
189,2,1,0.866666667,0.166666667,0.91
190,1,0,1.8,0.5,0
190,2,0,0.716666667,0.166666667,0
190,3,1,1.166666667,0,0.36
191,1,1,1.8,2,0
191,2,0,0.65,0.166666667,0
191,3,0,1.516666667,0,0.58
192,1,1,1.8,0.5,0
192,2,0,0.6,0.333333333,0
192,3,0,1.516666667,0,0.45
193,1,1,1.45,1,0
193,2,0,0.6,0.5,0
193,3,0,0.933333333,0,0.58
194,1,0,1.566666667,0.5,0
194,2,0,0.6,0.5,0
194,3,1,1.516666667,0,0.36
195,1,1,1.566666667,0.5,0
195,2,0,0.65,0.166666667,0
195,3,0,0.933333333,0,0.45
196,1,0,1.566666667,1,0
196,2,0,0.6,0.333333333,0
196,3,1,0.933333333,0,0.36
197,1,0,1.8,0.5,0
197,2,0,0.65,0.5,0
197,3,1,0.933333333,0,0.58
198,1,0,1.566666667,1,0
198,2,0,0.65,0.5,0
198,3,1,1.166666667,0,0.45
199,1,0,1.7,2,0
199,2,1,0.816666667,0.333333333,0
199,3,0,1.3,0,0.5
200,1,0,1.583333333,0.5,0
200,2,1,0.766666667,0.166666667,0
200,3,0,1.3,0,0.65
201,1,1,1.933333333,1,0
201,2,0,0.883333333,0.5,0
201,3,0,1.3,0,0.4
202,1,1,1.583333333,0.5,0
202,2,0,0.816666667,0.333333333,0
202,3,0,0.8,0,0.4
203,1,0,1.933333333,1,0
203,2,1,0.816666667,0.333333333,0
203,3,0,1,0,0.65
204,1,0,1.7,2,0
204,2,1,0.766666667,0.166666667,0
204,3,0,1,0,0.4
205,1,1,1.583333333,2,0
205,2,0,0.883333333,0.166666667,0
205,3,0,0.8,0,0.5
206,1,1,1.583333333,0.5,0
206,2,0,0.883333333,0.5,0
206,3,0,1,0,0.5
207,1,0,1.933333333,1,0
207,2,1,0.766666667,0.166666667,0
207,3,0,0.8,0,0.5
208,1,0,3.5,2,0
208,2,1,1,0.5,0
209,1,0,2.733333333,2,0
209,2,1,1.1,0.5,0
210,1,0,3.5,2,0
210,2,1,1.233333333,0.333333333,0
211,1,0,2.983333333,1,0
211,2,1,1.233333333,0.166666667,0
212,1,0,2.983333333,2,0
212,2,1,1.233333333,0.5,0
213,1,0,2.733333333,1,0
213,2,1,1.233333333,0.333333333,0
214,1,0,2.733333333,1,0
214,2,1,1.1,0.166666667,0
215,1,0,2.733333333,2,0
215,2,1,1,0.333333333,0
216,1,1,2.983333333,0.5,0
216,2,0,1.233333333,0.333333333,0
217,1,0,2.983333333,2,0
217,2,0,1.1,0.333333333,0
217,3,1,3.033333333,0,0.9
218,1,0,2.733333333,0.5,0
218,2,0,1.1,0.333333333,0
218,3,1,1.866666667,0,0.72
219,1,0,2.733333333,0.5,0
219,2,1,1,0.166666667,0
219,3,0,3.033333333,0,1.17
220,1,0,3.5,1,0
220,2,1,1.233333333,0.5,0
220,3,0,3.033333333,0,0.72
221,1,0,3.5,1,0
221,2,1,1.1,0.333333333,0
221,3,0,2.333333333,0,1.17
222,1,0,2.983333333,2,0
222,2,1,1,0.166666667,0
222,3,0,2.333333333,0,0.72
223,1,0,2.733333333,2,0
223,2,0,1.233333333,0.166666667,0
223,3,1,1.866666667,0,0.9
224,1,0,2.733333333,0.5,0
224,2,0,1.233333333,0.5,0
224,3,1,2.333333333,0,0.9
225,1,0,3.5,1,0
225,2,0,1,0.166666667,0
225,3,1,1.866666667,0,0.9
226,1,0,3.883333333,0.5,0
226,2,1,1.283333333,0.166666667,0
226,3,0,3.166666667,0,0.44
227,1,0,3.883333333,2,0
227,2,1,1.116666667,0.166666667,0
227,3,0,4.116666667,0,0.71
228,1,0,3.883333333,0.5,0
228,2,1,0.983333333,0.333333333,0
228,3,0,4.116666667,0,0.55
229,1,0,2.95,1,0
229,2,1,0.983333333,0.5,0
229,3,0,2.533333333,0,0.71
230,1,0,3.266666667,0.5,0
230,2,1,0.983333333,0.5,0
230,3,0,4.116666667,0,0.44
231,1,0,3.266666667,0.5,0
231,2,1,1.116666667,0.166666667,0
231,3,0,2.533333333,0,0.55
232,1,0,3.266666667,1,0
232,2,1,0.983333333,0.333333333,0
232,3,0,2.533333333,0,0.44
233,1,0,3.883333333,0.5,0
233,2,1,1.116666667,0.5,0
233,3,0,2.533333333,0,0.71
234,1,0,3.266666667,1,0
234,2,1,1.116666667,0.5,0
234,3,0,3.166666667,0,0.55
235,1,0,1.433333333,2,0
235,2,1,0.516666667,0.333333333,0
236,1,0,1.316666667,0.5,0
236,2,1,0.466666667,0.166666667,0
237,1,0,1.666666667,1,0
237,2,1,0.583333333,0.5,0
238,1,0,1.316666667,0.5,0
238,2,1,0.516666667,0.333333333,0
239,1,0,1.666666667,1,0
239,2,1,0.516666667,0.333333333,0
240,1,0,1.433333333,2,0
240,2,1,0.466666667,0.166666667,0
241,1,0,1.316666667,2,0
241,2,1,0.583333333,0.166666667,0
242,1,0,1.316666667,0.5,0
242,2,1,0.583333333,0.5,0
243,1,0,1.666666667,1,0
243,2,1,0.466666667,0.166666667,0
244,1,0,1.533333333,2,0.6
244,2,1,1.133333333,0.333333333,0.65
245,1,0,1.8,1,0.6
245,2,1,1.166666667,0.5,0.8
246,1,0,1.4,0.5,0.6
246,2,1,1.1,0.166666667,0.6
247,1,1,1.4,0.5,0.5
247,2,0,1.133333333,0.333333333,0.8
248,1,0,1.8,1,0.45
248,2,1,1.133333333,0.333333333,0.6
249,1,0,1.4,2,0.6
249,2,1,1.166666667,0.166666667,0.8
250,1,1,1.533333333,2,0.45
250,2,0,1.1,0.166666667,0.8
251,1,0,1.8,1,0.5
251,2,1,1.1,0.166666667,0.65
252,1,1,1.4,0.5,0.45
252,2,0,1.166666667,0.5,0.65
253,1,1,1.833333333,2,0.6
253,2,0,0.916666667,0.333333333,0.65
253,3,0,1.516666667,0,0.8
254,1,0,1.716666667,0.5,0.6
254,2,1,0.866666667,0.166666667,0.6
254,3,0,1.516666667,0,1.04
255,1,1,2.066666667,1,0.6
255,2,0,0.983333333,0.5,0.8
255,3,0,1.516666667,0,0.64
256,1,1,1.716666667,0.5,0.5
256,2,0,0.916666667,0.333333333,0.8
256,3,0,0.933333333,0,0.64
257,1,1,2.066666667,1,0.45
257,2,0,0.916666667,0.333333333,0.6
257,3,0,1.166666667,0,1.04
258,1,0,1.833333333,2,0.45
258,2,1,0.866666667,0.166666667,0.8
258,3,0,1.166666667,0,0.64
259,1,0,1.716666667,2,0.6
259,2,1,0.983333333,0.166666667,0.8
259,3,0,0.933333333,0,0.8
260,1,1,1.716666667,0.5,0.45
260,2,0,0.983333333,0.5,0.65
260,3,0,1.166666667,0,0.8
261,1,0,2.066666667,1,0.5
261,2,1,0.866666667,0.166666667,0.65
261,3,0,0.933333333,0,0.8
262,1,0,1.966666667,2,0
262,2,1,0.766666667,0.5,0
262,3,0,1.166666667,0,0.27
263,1,0,1.616666667,2,0
263,2,1,0.816666667,0.5,0
263,3,0,1.516666667,0,0.22
264,1,0,1.966666667,2,0
264,2,1,0.883333333,0.333333333,0
264,3,0,0.933333333,0,0.22
265,1,0,1.733333333,1,0
265,2,1,0.883333333,0.166666667,0
265,3,0,1.516666667,0,0.35
266,1,0,1.733333333,2,0
266,2,1,0.883333333,0.5,0
266,3,0,0.933333333,0,0.35
267,1,0,1.616666667,1,0
267,2,1,0.883333333,0.333333333,0
267,3,0,1.516666667,0,0.27
268,1,0,1.616666667,1,0
268,2,1,0.816666667,0.166666667,0
268,3,0,1.166666667,0,0.22
269,1,0,1.616666667,2,0
269,2,1,0.766666667,0.333333333,0
269,3,0,1.166666667,0,0.35
270,1,0,1.733333333,0.5,0
270,2,1,0.883333333,0.333333333,0
270,3,0,1.166666667,0,0.35
271,1,0,3.033333333,2,0
271,2,1,1.15,0.333333333,0
271,3,0,3.033333333,0,0.8
272,1,0,2.75,0.5,0
272,2,1,1.05,0.166666667,0
272,3,0,3.033333333,0,1.04
273,1,0,3.583333333,1,0
273,2,1,1.283333333,0.5,0
273,3,0,3.033333333,0,0.64
274,1,0,2.75,0.5,0
274,2,1,1.15,0.333333333,0
274,3,0,1.866666667,0,0.64
275,1,0,3.583333333,1,0
275,2,1,1.15,0.333333333,0
275,3,0,2.333333333,0,1.04
276,1,0,3.033333333,2,0
276,2,1,1.05,0.166666667,0
276,3,0,2.333333333,0,0.64
277,1,0,2.75,2,0
277,2,0,1.283333333,0.166666667,0
277,3,1,1.866666667,0,0.8
278,1,0,2.75,0.5,0
278,2,1,1.283333333,0.5,0
278,3,0,2.333333333,0,0.8
279,1,0,3.583333333,1,0
279,2,1,1.05,0.166666667,0
279,3,0,1.866666667,0,0.8
280,1,0,4.683333333,0.5,0.5
280,2,1,1.983333333,0.166666667,0.6
281,1,1,4.683333333,2,0.5
281,2,0,1.816666667,0.166666667,0.8
282,1,0,4.683333333,0.5,0.45
282,2,1,1.683333333,0.333333333,0.8
283,1,0,3.6,1,0.45
283,2,1,1.683333333,0.5,0.8
284,1,0,3.966666667,0.5,0.5
284,2,1,1.683333333,0.5,0.65
285,1,0,3.966666667,0.5,0.45
285,2,1,1.816666667,0.166666667,0.6
286,1,0,3.966666667,1,0.6
286,2,1,1.683333333,0.333333333,0.6
287,1,0,4.683333333,0.5,0.6
287,2,1,1.816666667,0.5,0.65
288,1,0,3.966666667,1,0.5
288,2,1,1.816666667,0.5,0.8
289,1,0,1.066666667,2,0
289,2,1,0.666666667,0.333333333,0
290,1,0,1.183333333,1,0
290,2,1,0.7,0.5,0
291,1,0,1.016666667,0.5,0
291,2,1,0.633333333,0.166666667,0
292,1,1,1.016666667,0.5,0
292,2,0,0.666666667,0.333333333,0
293,1,1,1.183333333,1,0
293,2,0,0.666666667,0.333333333,0
294,1,1,1.066666667,2,0
294,2,0,0.633333333,0.166666667,0
295,1,0,1.016666667,2,0
295,2,1,0.7,0.166666667,0
296,1,0,1.183333333,1,0
296,2,1,0.633333333,0.166666667,0
297,1,0,1.016666667,0.5,0
